localsymbol,secType,symbol,expiry,right,multiplier,strike
SPY7  141114P00207500,OPT,SPY,20141114,P,10,207.5
SPY7  141114P00210000,OPT,SPY,20141114,P,10,210
SPY7  141114P00212500,OPT,SPY,20141114,P,10,212.5
SPY7  141114P00215000,OPT,SPY,20141114,P,10,215
SPY7  141114P00217500,OPT,SPY,20141114,P,10,217.5
SPY7  141114P00220000,OPT,SPY,20141114,P,10,220
SPY7  141114P00222500,OPT,SPY,20141114,P,10,222.5
SPY7  141114P00225000,OPT,SPY,20141114,P,10,225
SPY7  141114P00227500,OPT,SPY,20141114,P,10,227.5
SPY7  141114P00230000,OPT,SPY,20141114,P,10,230
SPY7  141114P00232500,OPT,SPY,20141114,P,10,232.5
SPY7  141114P00235000,OPT,SPY,20141114,P,10,235
SPY7  141114P00237500,OPT,SPY,20141114,P,10,237.5
SPY7  141114P00240000,OPT,SPY,20141114,P,10,240
SPY7  141114P00242500,OPT,SPY,20141114,P,10,242.5
SPY7  141114P00245000,OPT,SPY,20141114,P,10,245
SPY7  141114P00247500,OPT,SPY,20141114,P,10,247.5
SPY7  141114P00250000,OPT,SPY,20141114,P,10,250
SPY   141114C00175000,OPT,SPY,20141114,C,100,175
SPY   141114C00176000,OPT,SPY,20141114,C,100,176
SPY   141114C00177000,OPT,SPY,20141114,C,100,177
SPY   141114C00178000,OPT,SPY,20141114,C,100,178
SPY   141114C00179000,OPT,SPY,20141114,C,100,179
SPY   141114C00180000,OPT,SPY,20141114,C,100,180
SPY   141114C00181000,OPT,SPY,20141114,C,100,181
SPY   141114C00182000,OPT,SPY,20141114,C,100,182
SPY   141114C00183000,OPT,SPY,20141114,C,100,183
SPY   141114C00184000,OPT,SPY,20141114,C,100,184
SPY   141114C00185000,OPT,SPY,20141114,C,100,185
SPY   141114P00175000,OPT,SPY,20141114,P,100,175
SPY   141114P00176000,OPT,SPY,20141114,P,100,176
SPY   141114P00177000,OPT,SPY,20141114,P,100,177
SPY   141114P00178000,OPT,SPY,20141114,P,100,178
SPY   141114P00179000,OPT,SPY,20141114,P,100,179
SPY   141114P00180000,OPT,SPY,20141114,P,100,180
SPY   141114P00181000,OPT,SPY,20141114,P,100,181
SPY   141114P00182000,OPT,SPY,20141114,P,100,182
SPY   141114P00185000,OPT,SPY,20141114,P,100,185
SPY7  141114C00185000,OPT,SPY,20141114,C,10,185
SPY7  141114P00185000,OPT,SPY,20141114,P,10,185
SPY   141114C00125000,OPT,SPY,20141114,C,100,125
